Variables="x","y","T"
0.358974, 0.167347, 2.094494
0.384615, 0.167347, 2.167547
0.410256, 0.167347, 2.226557
0.435897, 0.167347, 2.271146
0.461538, 0.167347, 2.301031
0.487179, 0.167347, 2.316022
0.512821, 0.167347, 2.316022
0.538462, 0.167347, 2.301031
0.564103, 0.167347, 2.271146
0.589744, 0.167347, 2.226557
0.615385, 0.167347, 2.167547
0.641026, 0.167347, 2.094494
0.666667, 0.167347, 2.007865
0.692308, 0.167347, 1.908215
0.717949, 0.167347, 1.796181
0.743590, 0.167347, 1.672485
0.769231, 0.167347, 1.537923
0.794872, 0.167347, 1.393361
0.820513, 0.167347, 1.239734
0.846154, 0.167347, 1.078038
0.871795, 0.167347, 0.909319
0.897436, 0.167347, 0.734675
0.923077, 0.167347, 0.555240
0.948718, 0.167347, 0.372185
0.974359, 0.167347, 0.186702
1.000000, 0.167347, 0.000000
1.025641, 0.167347, 0.000000
1.051282, 0.167347, 0.113115
1.076923, 0.167347, 0.225494
1.102564, 0.167347, 0.336408
1.128205, 0.167347, 0.445134
1.153846, 0.167347, 0.550968
1.179487, 0.167347, 0.653222
1.205128, 0.167347, 0.751231
1.230769, 0.167347, 0.844361
1.256410, 0.167347, 0.932008
0.000000, 0.163265, 0.000000
0.025641, 0.163265, 0.113115
0.051282, 0.163265, 0.225494
0.076923, 0.163265, 0.336408
0.102564, 0.163265, 0.445134
0.128205, 0.163265, 0.550968
0.153846, 0.163265, 0.653222
0.179487, 0.163265, 0.751231
0.205128, 0.163265, 0.844361
0.230769, 0.163265, 0.932008
0.256410, 0.163265, 1.013605
0.282051, 0.163265, 1.088623
0.307692, 0.163265, 1.156577
0.333333, 0.163265, 1.217029
0.358974, 0.163265, 1.269588
0.384615, 0.163265, 1.313915
0.410256, 0.163265, 1.349724
0.435897, 0.163265, 1.376784
0.461538, 0.163265, 1.394922
0.487179, 0.163265, 1.404020
0.512821, 0.163265, 1.404020
0.538462, 0.163265, 1.394922
0.564103, 0.163265, 1.376784
0.589744, 0.163265, 1.349724
0.615385, 0.163265, 1.313915
0.641026, 0.163265, 1.269588
0.666667, 0.163265, 1.217029
0.692308, 0.163265, 1.156577
0.717949, 0.163265, 1.088623
0.743590, 0.163265, 1.013605
0.769231, 0.163265, 0.932008
0.794872, 0.163265, 0.844361
0.820513, 0.163265, 0.751231
0.846154, 0.163265, 0.653222
0.871795, 0.163265, 0.550968
0.897436, 0.163265, 0.445134
0.923077, 0.163265, 0.336408
0.948718, 0.163265, 0.225494
0.974359, 0.163265, 0.113115
1.000000, 0.163265, 0.000000
1.025641, 0.163265, 0.000000
1.051282, 0.163265, 0.068550
1.076923, 0.163265, 0.136655
1.102564, 0.163265, 0.203872
1.128205, 0.163265, 0.269767
1.153846, 0.163265, 0.333910
1.179487, 0.163265, 0.395886
1.205128, 0.163265, 0.455292
1.230769, 0.163265, 0.511744
1.256410, 0.163265, 0.564876
0.000000, 0.159184, 0.000000
0.025641, 0.159184, 0.068550
0.051282, 0.159184, 0.136655
0.076923, 0.159184, 0.203872
0.102564, 0.159184, 0.269767
0.128205, 0.159184, 0.333910
0.153846, 0.159184, 0.395886
0.179487, 0.159184, 0.455292
0.205128, 0.159184, 0.511744
0.230769, 0.159184, 0.564876
0.256410, 0.159184, 0.614342
0.282051, 0.159184, 0.659823
0.307692, 0.159184, 0.701024
0.333333, 0.159184, 0.737678
0.358974, 0.159184, 0.769548
